Team,Full Name,Overall Rating,Position,Age,Speed,Acceleration,Awareness,Agility,Strength,Throw Power,Throw On The Run,Throw Under Pressure,Throw Accuracy Short,Throw Accuracy Mid,Throw Accuracy Deep,Release,Ball Carrier Vision,Stamina,Carrying,Play Action,Pursuit,Play Recognition,Short Route Running,Medium Route Running,Deep Route Running,Catch In Traffic,Catching,Spin Move,Finesse Moves,Spectacular Catch,Jumping,Tackle,Zone Coverage,Man Coverage,Trucking,Juke Move,Break Sack,Toughness,Stiff Arm,Power Moves,Lead Blocking,Run Block Power,Run Blocking,Hit Power,Pass Block Finesse,Pass Block Power,Pass Blocking,Impact Blocking,Kick Return,Kick Accuracy,Break Tackle,Kick Power,Change Of Direction,Press,Block Shedding,Run Block Finesse,Injury,Player Handedness,Jersey Number, Total Salary , Signing Bonus ,Archetype,Running Style,Years Pro,Height,Weight,Birthdate,College
Ravens,Marlon Humphrey,89,CB,24,92,93,89,88,74,22,6,10,6,6,6,15,68,94,62,6,66,86,15,11,10,52,70,61,42,60,85,68,83,90,29,76,16,79,36,33,20,35,35,78,35,35,35,60,62,25,56,30,90,91,47,35,89,Right,44," $5,590,000.00 "," $16,500,000.00 ",CB_MantoMan,Short Stride Default,3,72,197,7/8/1996,Alabama
Packers,Aaron Rodgers,89,QB,36,77,82,92,82,58,94,92,89,90,88,90,15,78,97,63,90,24,25,15,14,12,15,47,55,10,15,70,19,19,13,30,53,88,98,22,10,22,18,23,12,12,12,12,29,10,18,65,15,80,10,19,18,90,Right,12," $90,980,000.00 "," $85,650,000.00 ",QB_Improviser,Default,15,74,225,12/2/1983,California
Rams,Cooper Kupp,89,WR,27,88,91,93,95,65,48,42,29,42,36,31,79,88,88,78,38,31,22,91,91,85,84,95,79,10,87,78,31,26,15,55,85,22,86,78,10,34,32,51,26,34,39,46,54,84,20,83,22,89,10,28,28,89,Right,10," $4,070,000.00 "," $950,000.00 ",WR_RouteRunner,Default,3,74,208,6/15/1993,Eastern Wash.
Saints,Demario Davis,89,ROLB,31,86,89,88,81,85,25,6,16,6,6,6,12,20,94,62,6,90,90,15,5,5,15,60,15,62,15,86,91,76,70,45,25,12,90,45,54,24,45,45,86,45,45,45,84,10,20,25,26,73,40,81,45,91,Right,56," $14,150,000.00 "," $9,850,000.00 ",OLB_RunStopper,Long Stride Awkward,8,74,248,1/11/1989,Arkansas St.
49ers,Nick Bosa,89,RE,22,79,91,93,86,85,25,6,14,6,6,6,16,30,86,38,6,90,86,17,10,6,27,45,32,91,23,81,84,42,30,31,38,12,83,34,84,18,45,45,84,45,44,45,83,10,17,21,17,70,31,79,45,86,Right,97," $2,000,000.00 "," $31,550,000.00 ",DE_SmallerSpeedRusher,Long Stride Loose,1,76,266,10/23/1997,Ohio State
Bears,Allen Robinson II,89,WR,27,89,92,95,89,70,30,10,20,15,10,6,92,84,89,83,6,44,26,88,87,82,92,96,72,10,94,95,42,24,18,61,83,22,90,66,10,33,39,57,15,17,23,38,53,72,30,77,25,87,25,40,32,89,Right,12," $35,800,000.00 "," $6,200,000.00 ",WR_Physical,Default Stride Loose,6,74,220,8/24/1993,Penn State
Bengals,Joe Mixon,89,HB,24,91,93,88,92,75,38,36,17,36,32,28,52,85,96,97,28,38,15,65,58,52,71,70,82,14,75,84,37,20,10,88,90,22,91,88,11,46,36,55,38,26,31,61,43,79,16,88,24,90,12,34,35,92,Right,28," $3,350,000.00 "," $2,120,000.00 ",HB_ElusiveBack,Default,3,73,218,7/24/1996,Oklahoma
Browns,Austin Hooper,89,TE,25,82,87,93,83,73,26,10,15,15,10,6,79,80,96,75,6,31,22,82,81,72,82,97,59,17,83,86,34,21,14,71,69,12,88,80,17,53,62,66,27,59,63,65,68,18,19,64,21,74,17,29,66,90,Left,81," $24,000,000.00 "," $17,990,000.00 ",TE_VerticalThreat,Default,4,76,254,10/29/1994,Stanford
Falcons,Alex Mack,89,C,34,62,78,95,68,92,17,6,10,6,6,6,15,55,90,55,6,32,21,15,5,5,15,29,25,10,15,70,26,12,7,50,25,12,88,52,10,91,92,93,20,78,82,81,94,10,16,8,19,55,10,26,94,98,Right,51," $32,500,000.00 "," $12,500,000.00 ",C_Power,Default Stride Awkward,11,76,311,11/19/1985,California
Chargers,Derwin James Jr,89,SS,24,90,92,86,90,77,34,22,10,18,13,10,24,73,94,72,15,85,88,27,22,17,56,70,67,60,61,93,79,83,84,46,77,24,87,47,68,20,35,35,91,35,35,35,73,78,15,59,19,87,82,65,35,89,Left,33," $5,300,000.00 "," $7,090,000.00 ",S_RunSupport,Default Stride Loose,2,74,215,8/3/1996,Florida State
Chargers,Casey Hayward Jr,89,CB,30,89,90,93,91,69,30,6,18,6,6,6,12,73,95,55,6,70,92,15,12,10,59,78,66,44,68,86,61,90,92,25,73,17,64,41,37,13,35,35,51,35,35,35,53,35,24,60,22,93,90,55,35,87,Right,26," $30,500,000.00 "," $8,830,000.00 ",CB_MantoMan,Short Stride Loose,9,71,192,9/9/1989,Vanderbilt
Bears,Eddie Jackson,89,FS,26,88,90,91,86,63,21,6,17,6,6,6,49,80,89,74,6,86,89,52,42,37,73,78,65,41,71,84,70,94,82,48,76,12,76,47,32,10,35,38,82,35,35,35,53,83,19,57,20,85,78,56,35,82,Right,39," $39,350,000.00 "," $21,370,000.00 ",S_Zone,Default Stride High and Tight,3,72,204,12/10/1993,Alabama
Buccaneers,Ali Marpet,89,LG,27,72,82,93,75,88,30,6,12,6,6,6,15,10,82,45,6,25,15,15,5,5,15,45,10,10,15,80,37,15,12,20,10,12,82,30,10,85,90,89,20,84,89,87,87,10,25,6,25,59,10,20,86,90,Right,74," $52,010,000.00 "," $2,330,000.00 ",G_Power,Long Stride Awkward,5,76,307,4/17/1993,Hobart
Cowboys,DeMarcus Lawrence,89,LE,28,81,88,92,82,88,25,6,14,6,6,6,20,31,84,42,6,91,88,15,8,4,24,33,32,93,25,83,84,50,39,45,35,12,97,38,89,13,45,45,84,45,45,45,85,10,19,10,19,70,44,88,45,85,Right,90," $58,000,000.00 "," $47,000,000.00 ",DE_SmallerSpeedRusher,Default Stride Awkward,6,75,265,4/28/1992,Boise State
Eagles,Lane Johnson,89,RT,30,79,87,92,76,88,65,52,32,59,54,50,45,60,90,67,39,55,29,43,33,25,65,62,50,60,64,83,60,20,12,65,54,34,89,55,53,90,89,89,60,87,90,88,91,10,22,30,25,60,10,56,88,92,Right,65," $32,420,000.00 "," $54,330,000.00 ",OT_Power,Default Stride Awkward,7,78,317,5/8/1990,Oklahoma
Vikings,Danielle Hunter,89,LE,25,88,90,94,85,81,15,6,12,6,6,6,12,35,85,46,6,90,89,10,3,2,10,36,55,91,12,88,83,42,25,44,40,12,81,28,86,14,45,45,74,45,45,45,84,10,11,24,15,71,10,85,45,90,Right,99," $51,810,000.00 "," $23,260,000.00 ",DE_SmallerSpeedRusher,Default Stride Loose,5,77,252,10/29/1994,LSU
Vikings,Eric Kendricks,89,MLB,28,84,90,94,82,76,24,6,10,6,6,6,25,49,92,60,6,89,92,15,5,5,48,70,35,60,47,88,89,80,73,43,44,12,74,35,50,22,45,45,85,45,45,45,82,10,14,27,19,81,59,82,45,83,Right,54," $38,360,000.00 "," $13,250,000.00 ",MLB_FieldGeneral,Default Stride Awkward,5,72,232,2/29/1992,UCLA
Ravens,Earl Thomas III,88,FS,31,88,91,88,93,67,30,10,28,10,6,6,20,81,97,67,10,77,84,30,20,15,71,80,78,45,79,92,77,89,82,40,85,22,82,50,55,24,35,35,87,35,35,35,69,77,15,66,20,87,80,56,35,91,Right,29," $24,000,000.00 "," $31,000,000.00 ",S_Zone,Default,10,70,202,5/7/1989,Texas
Buccaneers,Chris Godwin,88,WR,24,91,92,94,91,72,33,15,24,20,15,10,87,84,88,73,6,32,20,87,88,83,87,97,73,10,89,88,27,25,15,78,79,22,90,62,10,23,23,54,33,20,20,57,43,48,21,79,25,89,18,28,16,97,Right,14," $3,880,000.00 "," $760,000.00 ",WR_RouteRunner,Default Stride High and Tight,3,73,205,2/27/1996,Penn State
Chargers,Bryan Bulaga,88,RT,31,61,76,91,68,88,10,6,15,6,6,6,15,10,90,39,6,33,15,15,5,5,15,15,10,10,15,69,25,12,11,10,10,12,86,10,10,86,79,78,33,88,92,91,87,10,11,20,11,51,10,25,73,82,Right,75," $11,750,000.00 "," $18,240,000.00 ",OT_PassProtector,Default Stride Awkward,10,77,314,3/21/1989,Iowa
Giants,Evan Engram,88,TE,25,90,91,88,89,66,28,27,11,23,18,14,77,85,93,79,18,37,26,81,78,75,76,88,68,28,89,88,42,31,24,76,75,14,76,73,20,50,60,62,28,58,65,63,69,59,16,76,22,82,22,32,57,88,Right,88," $5,290,000.00 "," $11,430,000.00 ",TE_VerticalThreat,Long Stride Loose,3,75,240,9/2/1994,Ole Miss
Packers,Za'Darius Smith,88,LOLB,27,80,85,95,73,84,19,6,14,6,6,6,15,19,86,45,6,92,90,15,8,5,15,46,15,79,15,78,82,57,46,29,20,12,87,35,91,12,45,45,83,45,45,45,72,10,21,10,15,68,20,73,45,89,Right,55," $46,000,000.00 "," $20,000,000.00 ",OLB_PowerRusher,Default Stride Awkward,5,76,275,9/8/1992,Kentucky
Cardinals,Patrick Peterson,88,CB,30,91,91,87,95,71,64,35,45,59,37,32,54,92,97,67,10,69,89,40,30,23,70,81,87,62,81,95,59,86,89,55,90,47,82,65,52,17,35,35,72,35,35,35,57,88,21,85,28,93,87,45,35,97,Right,21," $62,250,000.00 "," $16,810,000.00 ",CB_MantoMan,Default Stride Loose,9,73,203,7/11/1990,LSU
Bears,Akiem Hicks,88,LE,30,63,80,96,68,95,26,6,14,6,6,6,15,27,83,35,6,90,97,15,8,4,15,30,10,70,15,81,86,29,24,38,10,12,73,35,89,19,45,45,80,45,45,45,90,10,25,13,25,56,15,91,45,94,Right,96," $45,100,000.00 "," $8,400,000.00 ",DE_RunStopper,Default Stride Loose,8,76,352,11/16/1989,Regina
Patriots,Dont'a Hightower,88,MLB,30,81,86,95,79,84,16,6,18,6,6,6,25,35,91,59,6,93,93,15,5,5,15,58,20,57,20,82,92,68,60,65,25,12,90,46,78,29,45,45,90,45,45,45,91,10,11,14,12,70,68,78,45,90,Right,54," $25,400,000.00 "," $12,140,000.00 ",MLB_RunStopper,Default Stride Loose,8,75,265,3/12/1990,Alabama
Bills,Micah Hyde,88,FS,29,90,90,92,89,58,30,6,25,6,6,6,25,83,90,74,6,81,87,33,23,18,48,74,74,49,66,83,71,91,81,33,84,14,69,45,36,12,35,35,51,35,35,35,57,83,48,59,56,84,83,55,35,93,Right,23," $22,000,000.00 "," $8,900,000.00 ",S_Zone,Short Stride Loose,7,72,197,12/31/1990,Iowa
Raiders,Josh Jacobs,88,HB,22,87,91,91,87,82,36,27,19,36,31,23,51,86,95,97,19,36,20,60,54,41,61,66,77,10,63,84,34,30,22,89,84,37,93,86,10,38,33,39,25,36,40,59,43,80,10,94,15,85,20,28,27,84,Right,28," $2,000,000.00 "," $9,930,000.00 ",HB_PowerBack,Default,1,70,219,2/11/1998,Alabama
Seahawks,Tyler Lockett,88,WR,27,93,92,91,97,50,30,10,23,15,10,6,77,93,89,73,6,30,15,84,87,88,87,93,88,10,90,85,25,25,10,38,96,27,86,38,10,25,34,51,12,15,17,30,45,96,25,86,30,95,10,25,29,86,Right,16," $23,660,000.00 "," $9,200,000.00 ",WR_DeepThreat,Default Stride Loose,5,70,182,9/28/1992,Kansas State
Dolphins,Byron Jones,88,CB,27,92,94,87,96,71,44,6,17,6,6,6,41,54,91,59,6,70,86,27,17,12,40,63,74,44,61,98,64,90,84,35,76,15,83,39,35,16,35,35,60,35,35,35,61,65,21,50,24,93,92,49,35,90,Right,24," $37,510,000.00 "," $45,000,000.00 ",CB_Zone,Default,5,72,205,9/26/1992,Connecticut
Bengals,A.J. Green,88,WR,32,89,88,89,88,72,41,15,23,20,15,15,88,93,90,74,6,40,25,88,86,84,93,92,85,10,95,96,35,30,23,67,89,27,82,73,10,25,37,51,15,17,20,28,45,67,15,88,19,83,15,40,35,84,Right,18," $17,870,000.00 ", $-   ,WR_Physical,Long Stride Loose,9,76,210,7/31/1988,Georgia
